CustomerID,Recency,Frequency,Monetary,Segment
12588,40,1,214.89999999999998,Other
12589,29,2,646.68,Other
12590,5,2,9864.26,Other
12591,318,1,452.84999999999997,Lost
12592,66,2,437.6,At Risk
12593,109,3,418.09999999999997,At Risk
12594,47,10,3338.2200000000003,Champion
12596,36,2,618.27,Other
12597,20,4,3811.22,Other
12598,10,8,3023.08,Champion
12599,33,7,1032.58,Champion
12600,29,10,2599.04,Champion
12601,39,5,577.0600000000001,Other
12602,0,1,153.12,Other
12603,22,1,739.1999999999999,Other
12604,80,2,254.18,At Risk
12607,61,1,1579.51,At Risk
12609,79,3,1126.85,At Risk
12610,23,5,2099.54,Other
12611,53,1,1193.32,Other
12612,75,1,704.0400000000001,At Risk
12613,58,5,3344.38,Other
12614,160,1,315.6,At Risk
12615,72,4,2291.19,At Risk
12616,215,2,713.3,Lost
12617,60,1,355.53,Other
12618,22,1,177.31,Other
12619,17,9,3641.24,Champion
12620,15,3,1339.41,Other
12621,5,20,13689.67,Champion
12622,233,1,180.1,Lost
12623,129,1,305.1,At Risk
12624,107,2,641.13,At Risk
12625,5,2,2683.82,Other
12626,24,9,6620.48,Champion
12627,11,7,4478.53,Champion
12628,182,3,786.46,Lost
12630,10,2,1270.88,Other
12631,58,1,640.5,Other
12633,0,4,2163.98,Other
12635,31,2,1689.18,Other
12637,92,8,6021.9,At Risk
12638,182,1,671.69,Lost
12639,239,1,486.1,Lost
12640,24,3,1174.58,Other
12641,116,1,185.9,At Risk
12642,26,3,1013.26,Other
12643,39,6,3344.64,Champion
12644,305,1,477.91,Lost
12645,110,4,1775.18,At Risk
12646,50,2,1346.97,Other
12647,23,12,3722.82,Champion
12648,125,1,318.05,At Risk
12649,35,3,623.51,Other
12650,181,1,314.44,Lost
12651,100,1,114.0,At Risk
12652,9,1,919.98,Other
12653,149,2,2209.85,At Risk
12654,11,5,601.98,Other
12656,18,5,4051.17,Other
12657,12,4,1643.18,Other
12658,19,1,686.05,Other
12659,60,1,91.68,Other
12660,12,1,245.1,Other
12662,23,11,3849.78,Champion
12664,0,9,4881.88,Champion
12665,325,1,63.0,Lost
12667,0,1,620.13,Other
12668,12,4,3807.15,Other
12669,3,3,2744.0299999999997,Other
12670,11,5,2996.05,Other
12672,330,1,225.89999999999998,Lost
12673,242,2,610.52,Lost
12674,92,4,1970.6,At Risk
12676,25,6,1331.39,Champion
12678,43,12,17628.46,Champion
12679,0,4,1113.02,Other
12680,31,4,862.81,Other
12681,15,22,13787.54,Champion
12682,2,31,12288.22,Champion
12683,5,15,8476.57,Champion
12684,25,7,2283.63,Champion
12685,29,6,2863.08,Champion
12686,638,1,89.14,Lost
12688,114,1,4873.8099999999995,At Risk
12689,26,2,1247.61,Other
12690,206,1,389.01,Lost
12691,0,6,1035.8,Champion
12693,5,4,855.91,Other
12694,71,2,869.67,At Risk
12695,108,4,582.1,At Risk
12697,29,3,957.59,Other
12700,127,4,4939.99,At Risk
12701,36,2,797.71,Other
12702,20,1,219.0,Other
12703,71,1,283.55,At Risk
12704,23,8,2340.84,Champion
12705,16,9,6868.29,Champion
12707,292,1,603.42,Lost
12708,60,10,2712.91,Champion
12709,0,15,9736.52,Champion
12710,202,3,1149.02,Lost
12712,9,13,4396.13,Champion
12713,89,1,848.55,At Risk
12714,10,5,4708.86,Other
12715,107,1,353.86,At Risk
12716,134,2,1053.49,At Risk
12717,33,2,1030.98,Other
12718,72,1,238.25,At Risk
12719,214,2,644.95,Lost
12720,3,25,5781.73,Champion
12721,80,6,2656.13,At Risk
12722,3,4,997.63,Other
12723,17,5,725.07,Other
12724,39,4,1031.41,Other
12725,638,1,427.8,Lost
12726,29,7,2609.1,Champion
12727,11,7,3980.7,Champion
12728,39,4,836.33,Other
12729,114,1,453.01,At Risk
12731,24,12,18895.91,Champion
12732,180,1,236.26000000000002,Lost
12733,235,1,383.95,Lost
12734,353,1,110.39999999999999,Lost
12735,192,2,779.5699999999999,Lost
12736,39,1,234.0,Other
12738,665,1,155.35,Lost
12739,79,2,1013.04,At Risk
12740,153,1,427.6,At Risk
12743,135,2,546.43,At Risk
12744,52,7,21279.29,Champion
12747,23,11,4196.01,Champion
12748,4,209,33719.73,Champion
12749,23,5,4090.88,Other
12750,277,1,275.88,Lost
12752,82,1,4366.78,At Risk
12753,23,6,21429.39,Champion
12754,160,3,3010.74,At Risk
12755,251,2,3811.95,Lost
12756,87,1,112.07999999999998,At Risk
12757,4,13,7857.1,Champion
12758,117,2,2791.59,At Risk
12759,53,3,1531.44,Other
12762,26,2,1898.52,Other
12763,139,2,494.08,At Risk
12764,317,1,1693.88,Lost
12766,58,7,6989.63,Champion
12769,239,1,1143.6,Lost
12770,211,1,1351.45,Lost
12772,30,1,892.47,Other
12775,18,5,1386.04,Other
12778,20,6,822.23,Loyal
12779,199,8,3981.36,Lost
12781,153,2,826.74,At Risk
12782,150,5,2330.92,At Risk
12783,54,6,2225.91,Champion
12784,10,2,574.42,Other
12785,424,1,311.95,Lost
12787,10,3,463.66,Other
12789,214,1,91.85,Lost
12790,193,1,324.92,Lost
12791,697,1,192.60000000000002,Lost
12792,257,1,400.53999999999996,Lost
12793,100,2,545.48,At Risk
12794,54,2,860.41,Other
12795,19,1,430.48,Other
12797,454,1,254.03,Lost
12798,11,3,6977.04,Other
12802,187,1,427.58,Lost
12808,126,3,483.65000000000003,At Risk
12809,178,1,489.31,At Risk
12811,261,3,514.85,Lost
12812,45,1,229.64000000000001,Other
12814,102,1,125.92,At Risk
12815,148,2,1063.46,At Risk
12816,177,2,572.2,At Risk
12817,282,1,166.04,Lost
12818,262,1,1542.08,Lost
12820,45,4,942.34,Other
12821,96,1,92.72,At Risk
12822,71,2,948.88,At Risk
12823,75,5,1759.5,At Risk
12824,30,1,397.12,Other
12826,60,7,1474.72,Champion
12827,45,3,430.15000000000003,Other
12828,113,6,1018.71,At Risk
12829,162,2,293.0,At Risk
12830,92,6,6814.64,At Risk
12831,263,1,215.05,Lost
12832,152,2,383.03,At Risk
12833,146,1,417.38,At Risk
12834,310,1,312.38,Lost
12836,30,4,2612.86,Other
12837,174,1,134.1,At Risk
12838,182,2,683.13,Lost
12839,12,14,5591.42,Champion
12840,65,4,2726.77,At Risk
12841,4,25,4022.35,Champion
12842,71,2,1118.99,At Risk
12843,66,8,1702.26,At Risk
12844,60,2,325.96000000000004,Other
12845,268,4,354.09,Lost
12847,23,1,871.54,Other
12849,121,2,1050.8899999999999,At Risk
12851,245,1,135.18,Lost
12852,295,1,311.55,Lost
12853,135,6,1957.1000000000001,At Risk
12854,6,3,1324.5,Other
12855,666,1,38.1,Lost
12856,19,6,2179.93,Champion
12857,69,2,1106.4,At Risk
12863,53,1,521.2,Other
12864,139,1,147.12,At Risk
12865,27,2,1568.23,Other
12866,341,1,559.12,Lost
12867,27,7,4036.82,Champion
12868,9,6,1607.0600000000002,Champion
12871,85,2,380.64,At Risk
12872,327,2,599.97,Lost
12873,310,1,374.0,Lost
12875,144,2,343.2300000000001,At Risk
12876,58,2,2218.02,Other
12877,25,12,1535.77,Champion
12878,237,2,854.99,Lost
12879,45,3,573.22,Other
12881,98,1,298.0,At Risk
12882,10,2,1463.04,Other
12883,25,4,703.47,Other
12884,1,1,309.05,Other
12885,124,3,1175.22,At Risk
12886,249,2,1378.4,Lost
12888,96,2,354.12,At Risk
12890,24,1,380.46999999999997,Other
12891,157,3,331.0,At Risk
12893,90,1,188.14,At Risk
12895,43,2,372.8,Other
12897,38,2,216.5,Other
12901,11,28,17654.54,Champion
12902,265,1,138.68,Lost
12904,19,2,509.58,Other
12906,12,5,2919.81,Other
12908,177,2,750.0,At Risk
12909,40,5,2178.67,Other
12910,6,8,3075.04,Champion
12912,15,5,1662.3,Other
12913,16,5,2483.63,Other
12915,149,2,363.65,At Risk
12916,139,4,3006.15,At Risk
12917,277,1,594.0,Lost
12919,2,6,1335.19,Champion
12920,18,1,164.23,Other
12921,10,37,16587.09,Champion
12922,337,1,405.38,Lost
12923,183,1,176.97,Lost
12924,1,4,933.7,Other
12925,75,2,694.05,At Risk
12928,6,5,2062.7000000000003,Other
12929,342,1,117.85,Lost
12930,79,2,415.8,At Risk
12931,22,15,42055.96,Champion
12933,25,3,607.53,Other
12935,27,7,2160.7,Champion
12936,17,4,1063.9,Other
12937,16,4,1504.27,Other
12938,26,1,114.14,Other
12939,37,8,11581.8,Champion
12940,55,2,913.54,Other
12942,132,3,683.9,At Risk
12944,243,2,604.51,Lost
12945,289,1,462.95,Lost
12947,65,6,1603.99,At Risk
12948,17,7,2064.95,Champion
12949,90,8,4167.22,At Risk
12950,25,3,1843.0,Other
12951,174,6,1064.07,At Risk
12952,44,4,1387.79,Other
12953,10,1,329.85,Other
12955,17,11,4757.16,Champion
12956,191,1,108.07,Lost
12957,10,8,4017.54,Champion
12962,114,2,266.39,At Risk
12963,11,8,1856.63,Champion
12965,31,1,771.91,Other
12966,10,1,160.18,Other
12967,358,2,1660.9,Lost
12968,113,1,135.95,At Risk
12970,301,4,452.24,Lost
12971,9,86,11189.91,Champion
12974,198,1,144.8,Lost
12976,5,1,738.6,Other
12977,186,1,39.239999999999995,Lost
12980,9,9,7374.900000000001,Champion
12981,60,2,372.21999999999997,Other
12982,36,1,390.54,Other
12984,19,1,97.5,Other
12985,29,2,1239.38,Other
12987,74,2,558.7,At Risk
12988,293,1,535.32,Lost
12989,1,15,6924.110000000001,Champion
12990,121,3,409.5,At Risk
12991,24,2,503.76,Other
12993,24,4,414.76,Other
12994,32,3,974.4200000000001,Other
12995,86,1,211.32,At Risk
12997,1,4,1226.89,Other
12999,128,3,455.88,At Risk
13000,107,3,534.85,At Risk
13001,23,13,9818.82,Champion
13002,319,1,120.94999999999999,Lost
13003,33,3,149.05,Other
13004,12,18,5655.91,Champion
13005,159,2,513.7,At Risk
13006,57,1,81.57,Other
13008,324,1,229.46999999999997,Lost
13011,665,1,50.550000000000004,Lost
13012,10,8,1661.8400000000001,Champion
13013,22,13,4810.9400000000005,Champion
13014,11,10,3466.2799999999997,Champion
13015,54,5,3346.28,Other
13016,74,3,789.89,At Risk
13017,301,1,204.0,Lost
13018,17,28,7277.7,Champion
13021,26,9,2616.38,Champion
13023,183,2,689.9,Lost
13026,98,5,975.36,At Risk
13027,114,6,6912.0,At Risk
13028,23,2,661.3199999999999,Other
13029,90,3,1247.5,At Risk
13030,12,2,799.48,Other
13032,53,2,1010.18,Other
13033,358,1,190.55,Lost
13034,55,2,642.77,Other
13035,74,2,921.88,At Risk
13037,139,3,881.07,At Risk
13038,81,3,908.46,At Risk
13040,182,2,676.99,Lost
13043,37,1,516.42,Other
13044,292,1,560.47,Lost
13045,335,1,305.28000000000003,Lost
13046,90,2,629.31,At Risk
13047,57,10,3237.54,Champion
13048,15,4,1835.91,Other
13049,183,2,656.6800000000001,Lost
13050,15,17,5836.86,Champion
13052,35,1,348.15000000000003,Other
13055,66,3,1214.41,At Risk
13058,0,3,271.40000000000003,Other
13059,250,1,183.4,Lost
13060,254,1,307.53,Lost
13061,73,1,248.61,At Risk
13062,338,1,346.98,Lost
13064,1,4,1119.49,Other
13065,697,1,205.86,Lost
13066,25,2,470.8,Other
13067,83,1,115.46000000000001,At Risk
13068,11,2,344.0,Other
13069,2,24,4436.12,Champion
13070,193,1,228.8,Lost
13072,267,1,177.15,Lost
13075,305,1,919.61,Lost
13077,119,4,729.27,At Risk
13078,0,26,12627.94,Champion
13079,22,5,220.10000000000002,Other
13080,180,1,58.08,Lost
13081,12,11,28337.38,Champion
13082,177,9,3613.63,At Risk
13083,76,2,303.75,At Risk
13085,217,2,416.08000000000004,Lost
13089,6,97,58825.83,Champion
13090,20,14,8910.82,Champion
13091,29,1,345.82,Other
13092,5,5,477.83,Other
13093,98,8,7832.47,At Risk
13094,22,12,1927.3200000000002,Champion
13095,71,1,74.39999999999999,At Risk
13097,78,10,6010.42,At Risk
13098,10,28,28882.44,Champion
13099,334,1,207.35999999999999,Lost
13101,235,1,101.19,Lost
13102,24,24,6424.09,Champion
13103,40,1,243.94,Other
13104,47,6,1098.48,Champion
13106,134,1,76.5,At Risk
13107,45,4,1531.6200000000001,Other
13108,666,1,350.06,Lost
13109,30,2,786.54,Other
13110,54,7,1488.67,Champion
13113,5,24,12245.960000000001,Champion
13115,0,4,2294.78,Other
13116,139,1,501.14,At Risk
13117,22,8,984.91,Loyal
13118,20,5,1197.81,Other
13120,239,1,30.599999999999998,Lost
13121,270,1,283.73,Lost
13122,184,2,922.39,Lost
13124,31,3,3866.33,Other
13126,45,8,2099.64,Champion
13127,78,1,259.17,At Risk
13130,184,1,64.0,Lost
13131,24,3,1073.3,Other
13132,262,1,77.3,Lost
13133,37,2,109.8,Other
13134,86,4,1793.58,At Risk
13135,197,1,3096.0,Lost
13136,35,5,2607.61,Other
13137,11,8,3650.41,Champion
13138,23,6,962.39,Loyal
13139,17,7,5064.94,Champion
13140,109,3,423.72,At Risk
13141,85,5,2388.75,At Risk
13142,20,1,307.09,Other
13144,39,1,110.95,Other
13145,40,4,618.52,Other
13146,27,1,228.91,Other
13147,11,4,712.8000000000001,Other
13148,60,12,3707.12,Champion
13149,15,4,1676.06,Other
13151,296,1,1257.8700000000001,Lost
13153,242,1,486.22,Lost
13155,80,4,971.76,At Risk
13157,6,4,1741.22,Other
13158,2,4,1201.06,Other
13159,51,4,1437.85,Other
13160,23,1,91.8,Other
13161,314,1,112.75,Lost
13162,93,4,1688.29,At Risk
13165,47,2,1021.48,Other
13166,341,1,417.2,Lost
13167,19,4,791.33,Other
13168,200,4,1319.19,Lost
13169,153,2,712.88,At Risk
13170,27,1,116.00999999999999,Other
13171,22,3,468.41,Other
13173,212,2,353.65,Lost
13174,17,3,2817.03,Other
13176,47,1,492.84,Other
13177,183,1,282.45,Lost
13178,27,11,5725.47,Champion
13182,46,1,121.18,Other
13183,87,9,3957.78,At Risk
13184,15,10,1701.29,Champion
13185,268,1,71.4,Lost
13186,40,3,1575.89,Other
13187,191,1,236.02,Lost
13188,12,1,114.60000000000001,Other
13189,19,2,260.68,Other
13192,206,2,911.94,Lost
13193,91,1,117.88,At Risk
13194,136,1,60.7,At Risk
13196,12,4,1797.78,Other
13198,11,6,3401.2400000000002,Champion
13199,11,38,9817.12,Champion
13200,20,4,870.09,Other
13203,10,4,869.46,Other
13207,3,2,250.26000000000002,Other
13208,0,6,1223.9,Champion
13209,90,8,5891.61,At Risk
13210,154,1,353.48,At Risk
13211,11,3,1197.42,Other
13212,20,3,788.08,Other
13213,57,5,1520.58,Other
13216,268,1,333.74,Lost
13217,93,3,533.98,At Risk
13218,246,1,62.63999999999999,Lost
13220,79,4,819.2900000000001,At Risk
13221,241,2,847.41,Lost
13223,201,2,163.20000000000002,Lost
13224,33,2,2155.95,Other
13225,61,7,6463.84,At Risk
13226,37,1,108.21000000000001,Other
13227,202,1,257.7,Lost
13228,82,1,358.0,At Risk
13229,226,1,160.95,Lost
13230,59,14,2806.97,Champion
13232,4,7,1357.6,Champion
13233,75,2,605.12,At Risk
13235,35,1,1031.07,Other
13236,25,2,744.85,Other
13238,18,4,700.73,Other
13239,262,1,329.56,Lost
13240,174,4,663.65,At Risk
13242,66,3,270.40000000000003,At Risk
13243,204,1,600.07,Lost
13244,123,1,121.74000000000001,At Risk
13245,51,1,430.5,Other
13246,19,6,1987.3,Champion
13247,18,4,501.12,Other
13248,155,2,465.68,At Risk
13249,123,3,711.41,At Risk
13253,186,2,1030.4,Lost
13255,10,2,399.51,Other
13258,12,3,698.58,Other
13259,91,1,292.32,At Risk
13260,91,1,557.62,At Risk
13261,269,2,944.1,Lost
13262,264,1,200.29,Lost
13263,5,35,7454.07,Champion
13265,1,5,2107.66,Other
13266,12,12,3834.2599999999998,Champion
13267,9,19,4521.49,Champion
13268,6,11,3214.69,Champion
13269,1,15,5346.2300000000005,Champion
13270,485,1,590.0,Lost
13271,302,1,217.38,Lost
13272,31,2,276.56,Other
13273,114,1,138.98,At Risk
13276,153,2,590.9300000000001,At Risk
13277,16,4,258.4,Other
13278,41,1,542.73,Other
13279,78,1,137.75,At Risk
13280,93,3,814.86,At Risk
13282,19,3,1132.14,Other
13283,30,2,93.66,Other
13284,331,1,201.19,Lost
13285,24,4,2709.12,Other
13291,156,1,361.11,At Risk
13292,285,2,578.9399999999999,Lost
13294,250,2,873.74,Lost
13295,360,1,201.20000000000002,Lost
13296,138,1,87.4,At Risk
13297,24,4,2089.85,Other
13298,120,1,360.0,At Risk
13299,269,1,142.5,Lost
13300,170,1,371.89,At Risk
13301,104,4,618.09,At Risk
13302,155,1,63.75,At Risk
13304,352,1,300.42,Lost
13305,22,10,2000.86,Champion
13307,32,1,15.0,Other
13308,23,3,1385.51,Other
13309,1,5,1456.79,Other
13310,28,3,1132.03,Other
13311,3,2,598.57,Other
13313,23,5,1555.32,Other
13314,74,3,775.94,At Risk
13316,80,4,5977.7300000000005,At Risk
13317,199,6,2273.68,Lost
13318,119,3,640.76,At Risk
13319,18,26,10845.550000000001,Champion
13320,66,4,1548.7,At Risk
13321,73,2,567.36,At Risk
13322,18,1,199.48000000000002,Other
13323,22,5,787.85,Other
13324,31,10,7121.95,Champion
13325,82,1,675.3,At Risk
13327,113,8,3627.77,At Risk
13328,317,1,1308.48,Lost
13329,121,2,789.0,At Risk
13330,123,3,1140.93,At Risk
13332,15,1,350.9,Other
13334,83,3,3536.82,At Risk
13336,78,1,795.12,At Risk
13338,217,1,487.02,Lost
13339,201,1,860.12,Lost
13340,46,7,10736.48,Champion
13341,261,1,775.85,Lost
13343,178,1,353.43,At Risk
13344,160,3,2543.72,At Risk
13345,288,1,389.5,Lost
13347,71,1,341.36,At Risk
13348,182,1,233.76,Lost
13349,11,1,247.32,Other
13350,17,2,979.12,Other
13351,244,1,373.94,Lost
13352,61,1,397.97999999999996,At Risk
13354,72,1,743.53,At Risk
13355,93,1,674.7,At Risk
13356,81,1,768.24,At Risk
13357,258,1,609.95,Lost
13358,269,1,439.03,Lost
13359,153,1,439.56,At Risk
13362,10,4,3090.7400000000002,Other
13363,18,2,992.5,Other
13364,71,1,134.95999999999998,At Risk
13365,182,2,2225.37,Lost
13366,51,1,56.160000000000004,Other
13368,192,2,623.4,Lost
13369,454,1,308.28000000000003,Lost
13370,638,1,754.87,Lost
13372,31,1,378.64,Other
13373,61,3,3312.25,At Risk
13375,1,1,778.65,Other
13376,204,3,1019.76,Lost
13379,27,3,572.56,Other
13381,31,6,3639.31,Champion
13382,251,1,222.99,Lost
13384,46,7,4151.93,Champion
13385,330,1,534.57,Lost
13388,132,2,677.1,At Risk
13389,12,3,797.96,Other
13390,75,1,544.08,At Risk
13391,204,1,59.8,Lost
13394,33,8,2520.02,Champion
13395,157,1,307.72,At Risk
13396,60,2,1360.99,Other
13397,73,5,1544.13,At Risk
13398,193,1,457.34,Lost
13402,246,2,621.23,Lost
13403,18,1,75.0,Other
13404,35,2,252.49,Other
13405,75,3,572.451,At Risk
13408,3,62,28117.04,Champion
13410,25,5,1003.06,Other
13411,108,1,213.55,At Risk
13414,134,3,1390.5,At Risk
13416,44,2,712.5,Other
13417,206,2,640.83,Lost
13418,12,18,6127.43,Champion
13419,153,1,221.06,At Risk
13420,150,2,159.85,At Risk
13421,41,2,1851.08,Other
13422,183,1,2626.3,Lost
13425,109,3,1624.21,At Risk
13426,11,10,3641.32,Champion
13427,20,3,582.6,Other
13428,11,1,218.47,Other
13429,11,4,1006.8,Other
13430,19,2,679.45,Other
13431,1,2,1269.1,Other
13434,75,2,534.24,At Risk
13435,25,7,3809.8900000000003,Champion
13436,120,1,196.89,At Risk
13437,15,7,3408.06,Champion
13439,256,1,283.71,Lost
13441,92,1,296.64,At Risk
13447,24,3,1129.14,Other
13448,17,6,3539.37,Champion
13449,24,1,291.88,Other
13450,27,6,2043.7199999999998,Champion
13451,4,5,2976.15,Other
13452,260,2,590.0,Lost
13453,166,2,356.97999999999996,At Risk
13455,25,2,1058.34,Other
13456,18,6,1766.72,Champion
13458,6,14,9646.57,Champion
13460,50,2,183.44,Other
13461,139,3,1445.0,At Risk
13462,340,1,151.5,Lost
13464,0,1,674.68,Other
13466,126,1,307.9,At Risk
13467,11,2,1083.71,Other
13468,0,37,5704.97,Champion
13470,116,2,165.0,At Risk
13471,22,4,2531.58,Other
13473,39,2,422.64,Other
13474,237,1,229.59,Lost
13475,188,4,1431.78,Lost
13476,179,2,1238.47,At Risk
13477,5,6,1454.58,Champion
13479,201,2,300.95,Lost
13481,46,5,1804.56,Other
13482,233,1,184.64,Lost
13483,214,1,140.34,Lost
13484,6,1,313.8,Other
13485,234,1,454.24,Lost
13486,79,3,1122.41,At Risk
13487,58,3,575.4,Other
13488,9,13,8968.31,Champion
13489,106,4,449.52,At Risk
13491,39,10,1215.82,Champion
13492,96,3,1269.84,At Risk
13493,98,2,618.63,At Risk
13494,342,1,316.26000000000005,Lost
13495,233,5,2044.8700000000001,Lost
13496,11,2,653.33,Other
13497,310,2,348.05,Lost
13499,18,5,1159.11,Other
13500,24,3,1166.77,Other
13501,288,1,1340.32,Lost
13502,17,3,292.0,Other
13503,72,1,216.85,At Risk
13504,183,1,295.93,Lost
13505,73,4,4393.63,At Risk
13506,317,2,458.52,Lost
13507,108,4,2479.16,At Risk
13508,67,1,110.97,At Risk
13509,37,7,979.72,Loyal
13510,46,4,1791.56,Other
13512,261,1,251.21,Lost
13513,216,1,205.1,Lost
13514,74,1,152.20000000000002,At Risk
13515,73,4,891.12,At Risk
13516,22,3,1389.41,Other
13517,30,3,2128.42,Other
13518,86,1,659.4399999999999,At Risk
